Driver,fp2_avg_lap,fp2_best_lap,fp2_total_laps,FastestQualiLap,QualiPosition,grand_prix
ALB,109.1802857142857,102.177,14,103.778,20,Azerbaijan
ALO,119.4465294117647,102.967,17,101.857,12,Azerbaijan
ANT,109.124,101.779,10,101.464,6,Azerbaijan
BEA,117.11113333333333,101.891,15,102.666,15,Azerbaijan
BOR,110.74781818181819,102.561,11,102.277,14,Azerbaijan
COL,106.80624999999999,103.322,12,102.779,16,Azerbaijan
GAS,119.7083076923077,102.674,13,103.139,19,Azerbaijan
HAD,108.60653846153846,102.443,13,101.647,9,Azerbaijan
HAM,107.71833333333333,101.293,9,101.821,11,Azerbaijan
HUL,105.97933333333333,102.82,12,102.916,17,Azerbaijan
LAW,115.84861538461539,101.989,13,101.537,7,Azerbaijan
LEC,113.3943,101.367,10,101.458,5,Azerbaijan
NOR,102.199,102.199,1,101.322,2,Azerbaijan
OCO,107.40530769230769,102.167,13,103.004,18,Azerbaijan
PIA,111.33309999999999,102.295,10,101.414,3,Azerbaijan
RUS,112.24966666666667,101.77,9,101.455,4,Azerbaijan
SAI,107.31071428571428,102.255,14,101.595,8,Azerbaijan
STR,106.43299999999999,102.771,12,102.101,13,Azerbaijan
TSU,108.98858333333334,102.444,12,101.788,10,Azerbaijan
VER,106.95941666666666,101.902,12,101.117,1,Azerbaijan
